Lang	Train	Dev	Tests	More Dev tests
deu	 europarl_v10, news_commentary_v14, wmt13_commoncrawl, EESC2017, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	newstest2018_deen, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test	newstest2019_deen, newstest2014_deen	newstest2009, newstest2010, newstest2011, newstest2012, newstest2013, newstest2015_deen, newstest2016_deen, newstest2017_deen
ces	wmt13_commoncrawl, europarl_v10,news_commentary_v14,europarl_v7, EESC2017, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	newstest2018_encs, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test	newstest2019_encs	newstest2009, newstest2010, newstest2011, newstest2012, newstest2013, newstest2014_csen, newstest2015_csen, newstest2016_csen, newstest2017_csen,
fra	wmt13_commoncrawl, europarl_v10,news_commentary_v14, OPUS_giga_fren_v2, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	newstest2013, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test	newstest2014_fren,UNv1_test	UNv1_dev, newstest2009, newstest2010, newstest2011, newstest2012
spa	wmt13_commoncrawl, news_commentary_v14, EESC2017, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	newstest2012, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test	newstest2013, UNv1_test	UNv1_dev, newstest2009, newstest2010, newstest201
rus	wmt13_commoncrawl, news_commentary_v14, OPUS_UNPC_v1_0, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	newstest2018_ruen, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test	UNv1_test, newstest2019_ruen	UNv1_dev, newstest2012, newstest2013, newstest2014_ruen, newstest2015_ruen, newstest2016_ruen, newstest2017_ruen
fin	europarl_v10, EESC2017, rapid2016, OPUS_DGT_v2019,europarl_v7, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	newstest2018_fien, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test	newstest2019_fien	newsdev2015_fien, newstest2015_fien,  newstest2016_fien, newstest2017_fien
pol	europarl_v10, EESC2017, rapid2019, OPUS_DGT_v2019, OPUS_EUbookshop_v2, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test	newsdev2020_plen	
por	news_commentary_v14, GlobalVoices_2018Q4, EESC2017, rapid2016, OPUS_EUbookshop_v2,europarl_v7, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
ita	news_commentary_v14, GlobalVoices_2018Q4, EESC2017, rapid2016,europarl_v7, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
ron	GlobalVoices_2018Q4, EESC2017, rapid2016, EMA2016,europarl_v7, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
lit	EESC2017, rapid2016, EMA2016, europarl_v10,  OPUS_DGT_v2019, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	newsdev2019_lten, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test	newstest2019_lten	
nld	EESC2017, rapid2016, EMA2016, news_commentary_v14, OPUS_DGT_v2019,europarl_v7, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
lav	EESC2017, rapid2016, EMA2016, europarl_v7, OPUS_DGT_v2019, OPUS_EMEA_v3, OPUS100v1_train	newsdev2017_lven, OPUS100v1_dev, OPUS100v1_test	newstest2017_lven	
zho	GlobalVoices_2018Q4, news_commentary_v14, OPUS_UNPC_v1_0, OPUS_MultiUN_v1, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	newstest2018_zhen, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test	newstest2019_zhen, UNv1_test	UNv1_dev, newsdev2017_zhen, newstest2017_zhen
tur	GlobalVoices_2018Q4, OPUS_Tanzil_v1, OPUS_OpenSubtitles_v2018, OPUS_SETIMES_v2, OPUS_TED2013_v1_1, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	newstest2017_tren, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test	newstest2018_tren	newsdev2016_tren, newstest2016_tren
swe	EESC2017, EMA2016, GlobalVoices_2018Q4,rapid2016,OPUS_DGT_v2019,europarl_v7, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
est	EESC2017, EMA2016,OPUS_DGT_v2019, OPUS_Europarl_v8, rapid2016, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	newsdev2018_eten,, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test	newstest2018_eten	
hun	EESC2017, EMA2016, GlobalVoices_2018Q4, rapid2016, OPUS_DGT_v2019,europarl_v7, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
ell	EESC2017, EMA2016, GlobalVoices_2018Q4, rapid2016, OPUS_DGT_v2019,europarl_v7, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
slv	EESC2017, EMA2016, OPUS_DGT_v2019,OPUS_EUbookshop_v2, rapid2016,europarl_v7, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
bul	EESC2017, EMA2016, GlobalVoices_2018Q4, OPUS_EUbookshop_v2, rapid2016, europarl_v7, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
dan	EESC2017, EMA2016, GlobalVoices_2018Q4,rapid2016,OPUS_DGT_v2019,europarl_v7, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
ara	GlobalVoices_2018Q4,OPUS_MultiUN_v1, news_commentary_v14,OPUS_UNPC_v1_0, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	UNv1_dev, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test	UNv1_test	
slk	EESC2017, EMA2016,rapid2016,OPUS_DGT_v2019,OPUS_EUbookshop_v2,europarl_v7, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
hrv	EESC2017, EMA2016,OPUS_DGT_v2019,rapid2016,OPUS_EUbookshop_v2, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
hin	GlobalVoices_2018Q4,JoshuaIndianCorpus_training,pmindia_v1,news_commentary_v14,IITBv1_5_train, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	IITBv1_5_dev, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test	IITBv1_5_test	JoshuaIndianCorpus_test,newstest2014_hien, JoshuaIndianCorpus_dev, JoshuaIndianCorpus_devtest
mlt	EESC2017, EMA2016, rapid2016, OPUS_DGT_v2019, OPUS_EMEA_v3, OPUS_EUbookshop_v2, OPUS100v1_train	, OPUS100v1_dev, OPUS100v1_test		
jpn	GlobalVoices_2018Q4, news_commentary_v14, OPUS_OpenSubtitles_v1, OPUS_Tatoeba_v20190709, kftt_v1_train, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	newsdev2020_jaen, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test	kftt_v1_test	 kftt_v1_dev kftt_v1_tune
tam	JoshuaIndianCorpus_training, pmindia_v1, wiki_titles_v2, JW300,JoshuaIndianCorpus_dict, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	newsdev2020_taen, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test	JoshuaIndianCorpus_test	JoshuaIndianCorpus_dev, JoshuaIndianCorpus_devtest
pus	OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, bible_clean, gnome, kde4, tatoeba, ted_wmt20, OPUS100v1_train	wikipedia_dev_psen, OPUS100v1_dev, OPUS100v1_test	wikipedia_devtest_psen	
isl	EESC2017, EMA2016,rapid2016,OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1	, OPUS100v1_dev, OPUS100v1_test		
