Lang	Sents	Source	English
abk	23161	292717	423050
ace	446	2783	2409
ach	73172	1496706	1325711
acm	11	63	88
acu	12347	349234	328050
ada	63021	1669121	1131992
ady	9	38	40
aed	12390	248120	251486
afb	69	303	370
afh	10	46	54
afr	1164819	22720174	21574598
agr	12778	295678	338609
ain	26	117	154
aka	61	2214	2225
ake	12346	493819	326593
akl	14	63	52
aln	25	133	134
alt	3764	52407	70386
alz	7567	154509	133119
amh	669145	9765847	14326330
ami	9156	186011	175520
amu	15533	566676	411225
ang	993	4273	4088
aoz	11	52	56
apc	15	69	95
ara	22679389	588552279	673442592
arc	1	2	2
arg	82038	1641632	1535954
arn	16737	275559	296456
arq	919	5587	7531
ary	41	148	216
arz	54590	927189	1089748
ase	538	8038	8382
asf	149	2413	2322
asm	94568	1027775	1390206
ast	9261	59964	54602
atj	1	48	43
avk	157	933	1221
awa	248	1249	1246
aym	138760	1939507	2710890
aze	693153	10806686	12639115
bak	88618	1216200	1580575
bal	22	99	81
bam	5	18	17
bar	58409	796255	908588
bas	27771	616191	496676
bbc	35181	574823	619966
bci	142169	3685710	2597887
bcl	451274	9946706	8765221
bel	290072	3469541	4206848
bem	381297	6526989	7171421
ben	1469860	22481515	23509544
bfi	384	7005	8302
bho	55	858	908
bhw	22261	366474	381127
bin	11635	261717	208326
bis	476064	11972512	9034190
bod	1029	17081	6956
bos	12903765	108980163	134352300
bpy	1	2	2
bre	129742	1301922	1286455
brx	23	86	101
bsn	11180	681542	291888
bts	14255	233806	238303
btx	27295	436554	470088
bua	17	70	83
bul	2755198	47511112	50192767
bum	27996	624348	494140
bvl	98	1188	1391
bvy	23	157	163
bxr	44	1221	1658
byn	1	2	2
bzj	6905	136165	119827
bzs	110679	2044945	2065232
cab	59416	1016417	1095937
cak	46427	1293345	962624
cat	3151150	66838920	60317575
cbk	2423	17255	16912
cce	17935	346295	303153
ceb	1177127	23461502	21304716
ces	3986495	64539275	74129349
cha	14539	316758	350061
che	15	146	114
chk	207347	4363629	4031326
cho	107	595	624
chq	14251	912859	366313
chr	15746	287938	416623
chv	68211	1032279	1302667
chw	17988	252729	299706
cjk	35767	601420	627383
cjp	15155	608344	400614
cjy	5	35	23
ckb	1040	4332	4400
ckt	1	3	5
cmn	44110	487138	374935
cnh	27733	554298	477786
cni	15264	331249	404004
cop	15706	256370	416296
cor	4105	24498	23815
cos	75	2984	2880
crh	1361	8351	8996
crs	188361	3847882	3528139
csb	892	4280	4070
cse	11655	179085	210357
csf	117	1816	1946
csg	329	4320	4734
csl	17874	494654	348101
csn	3428	71580	70847
csr	8	86	85
ctu	26462	547357	478157
cym	99826	1055852	937929
dan	7682343	163476497	173310159
deu	12119459	245035715	254126788
dhv	58875	1504920	1078197
dik	13319	383777	353980
din	1	5	1
diq	74	1924	2669
div	85159	2441892	2350351
dje	60515	1924044	1780607
djk	52628	1458098	1038818
dng	6	27	32
dop	15711	558508	416290
dsb	37	471	677
dtp	1831	12814	12803
dty	24	874	804
dua	15351	444826	269185
dws	9	37	48
dyu	14886	322319	258596
dzo	449	8250	2871
ecs	2019	38677	39731
efi	332589	7312421	6298566
egl	81	499	456
ell	6835717	155615617	154230888
epo	1273333	20025116	20887797
esn	13	99	120
est	5788575	94125966	120585810
eus	2101130	24427549	30827665
ewe	588735	12826778	11227502
ext	65	588	628
fao	75612	1194153	1534477
fas	8054223	96700032	103579635
fcs	13034	253315	239624
fij	357673	7837220	6726164
fil	2125	51507	47398
fin	8187935	131239231	172686863
fkv	56	528	622
fon	31273	865700	552748
fra	33010111	1001694594	862394235
frm	17	207	220
frp	473	1820	1485
fry	174498	2726426	3360333
fse	21671	298224	400110
fsl	2862	58931	56227
fuc	6	21	26
ful	1	7	3
fur	5791	42727	37760
fuv	29	133	157
gaa	409659	9284738	7868224
gan	3	26	18
gbi	15023	624914	398145
gbm	34	162	144
gcf	78	464	446
gil	203252	4762950	3888542
gla	8444	108564	87714
gle	1770628	48936403	45855008
glg	1270160	23281744	22762444
glk	12	268	521
glv	11006	261914	232828
gom	722	24148	26834
gor	111	4034	4651
gos	986	4727	4963
got	207	4340	1698
grc	568	3778	4845
grn	229	1883	2577
gsg	16400	268254	298220
gss	7090	137633	140185
gsw	220	1914	2052
guc	53537	826821	985121
gug	143391	2151216	2742729
guj	420729	4899065	6961346
guw	286899	6650627	5431468
gym	78796	1624979	1459454
hak	3	16	15
hat	197201	4438519	3630101
hau	295829	6459154	5881574
haw	94	824	874
hds	12	94	139
heb	25841585	224902346	283316533
her	8179	151589	141558
hif	45	777	1044
hil	807375	17432476	15442425
hin	2211381	41452435	38163209
hmn	41806	906741	729196
hmo	227759	4781868	4314100
hne	52059	322484	263135
hnj	4	25	20
hoc	631	3038	3520
hrv	2304149	34755332	39315927
hrx	214	1300	1247
hsb	36	194	235
hsh	13877	214890	256618
hsn	3	21	15
hun	6785904	124670924	140421813
hye	382378	5779847	7504431
iba	34577	614600	591325
ibg	30270	568962	537232
ibo	415234	10075710	7737716
ido	46163	763729	831713
ike	43	138	245
iku	5244	66528	113112
ile	2570	16439	16599
ilo	898926	17814296	17022059
ina	12194	101705	99401
ind	3441203	63578787	64369133
inl	206	2459	2814
ins	208	1754	1905
ise	79874	1497912	1527368
ish	5221	112815	91400
isl	1112770	10987587	13281910
iso	215449	4917558	4047680
ita	10095386	244588092	245359909
izh	4	14	15
jak	15513	564458	411137
jam	61	2060	2166
jav	73185	1177647	1442806
jbo	11470	88384	83024
jdt	2	6	9
jiv	12910	272452	342885
jpn	5379355	111898280	95783174
jsl	83773	2223227	1528544
kab	38018	758336	550414
kac	10930	270098	184701
kal	191660	2206906	3610449
kam	51054	959249	932972
kan	327475	4029042	7429653
kas	701	3855	3743
kat	677998	7474496	11906197
kau	285	2936	1453
kaz	248822	1652871	1906753
kbh	10287	384331	272175
kbp	29066	618571	521923
kea	5217	102331	90402
kek	63350	2231030	1836968
kha	1277	9156	8623
khm	150117	2966056	2683112
kik	94242	1714356	1737121
kin	488086	8493687	9135649
kir	283308	3984657	5499207
kjh	16	63	77
kmb	90341	1960969	1617965
kmr	14798	273245	260963
koi	14	68	85
